year,gender,multivolume_novel,single_novel_author,sampling_weight
1837,m,0,0,13.987068965517242
1837,m,0,1,8.137931034482758
1837,m,1,0,20.862068965517242
1837,m,1,1,12.137931034482758
1837,w,0,0,12.011494252873563
1837,w,0,1,6.988505747126437
1837,w,1,0,10.74712643678161
1837,w,1,1,6.25287356321839
1837,u,0,0,5.531609195402299
1837,u,0,1,3.2183908045977008
1837,u,1,0,4.425287356321839
1837,u,1,1,2.5747126436781613
1838,m,0,0,16.51580459770115
1838,m,0,1,9.609195402298852
1838,m,1,0,18.333333333333332
1838,m,1,1,10.666666666666668
1838,w,0,0,13.987068965517242
1838,w,0,1,8.137931034482758
1838,w,1,0,9.482758620689655
1838,w,1,1,5.517241379310345
1838,u,0,0,6.795977011494253
1838,u,0,1,3.9540229885057467
1838,u,1,0,3.160919540229885
1838,u,1,1,1.839080459770115
1839,m,0,0,14.85632183908046
1839,m,0,1,8.64367816091954
1839,m,1,0,22.126436781609197
1839,m,1,1,12.873563218390803
1839,w,0,0,12.327586206896552
1839,w,0,1,7.172413793103448
1839,w,1,0,13.275862068965518
1839,w,1,1,7.724137931034482
1839,u,0,0,7.5071839080459775
1839,u,0,1,4.3678160919540225
1839,u,1,0,3.160919540229885
1839,u,1,1,1.839080459770115
1840,m,0,0,14.145114942528735
1840,m,0,1,8.229885057471265
1840,m,1,0,22.126436781609197
1840,m,1,1,12.873563218390803
1840,w,0,0,8.53448275862069
1840,w,0,1,4.96551724137931
1840,w,1,0,17.06896551724138
1840,w,1,1,9.93103448275862
1840,u,0,0,4.978448275862069
1840,u,0,1,2.8965517241379306
1840,u,1,0,5.689655172413794
1840,u,1,1,3.3103448275862064
1841,m,0,0,7.2701149425287355
1841,m,0,1,4.2298850574712645
1841,m,1,0,29.71264367816092
1841,m,1,1,17.28735632183908
1841,w,0,0,11.85344827586207
1841,w,0,1,6.896551724137931
1841,w,1,0,15.172413793103448
1841,w,1,1,8.827586206896552
1841,u,0,0,8.850574712643677
1841,u,0,1,5.149425287356323
1841,u,1,0,2.528735632183908
1841,u,1,1,1.471264367816092
1842,m,0,0,17.54310344827586
1842,m,0,1,10.206896551724139
1842,m,1,0,20.862068965517242
1842,m,1,1,12.137931034482758
1842,w,0,0,11.379310344827587
1842,w,0,1,6.620689655172413
1842,w,1,0,17.06896551724138
1842,w,1,1,9.93103448275862
1842,u,0,0,8.297413793103448
1842,u,0,1,4.827586206896552
1842,u,1,0,3.793103448275862
1842,u,1,1,2.206896551724138
1843,m,0,0,13.117816091954023
1843,m,0,1,7.6321839080459775
1843,m,1,0,25.28735632183908
1843,m,1,1,14.71264367816092
1843,w,0,0,12.801724137931034
1843,w,0,1,7.448275862068966
1843,w,1,0,17.06896551724138
1843,w,1,1,9.93103448275862
1843,u,0,0,10.193965517241379
1843,u,0,1,5.931034482758621
1843,u,1,0,1.896551724137931
1843,u,1,1,1.103448275862069
1844,m,0,0,11.379310344827587
1844,m,0,1,6.620689655172413
1844,m,1,0,28.448275862068964
1844,m,1,1,16.551724137931036
1844,w,0,0,11.695402298850574
1844,w,0,1,6.804597701149426
1844,w,1,0,19.597701149425287
1844,w,1,1,11.402298850574713
1844,u,0,0,5.847701149425287
1844,u,0,1,3.402298850574713
1844,u,1,0,6.954022988505747
1844,u,1,1,4.045977011494253
1845,m,0,0,15.804597701149426
1845,m,0,1,9.195402298850574
1845,m,1,0,24.022988505747126
1845,m,1,1,13.977011494252874
1845,w,0,0,12.406609195402298
1845,w,0,1,7.218390804597702
1845,w,1,0,19.597701149425287
1845,w,1,1,11.402298850574713
1845,u,0,0,7.191091954022989
1845,u,0,1,4.183908045977011
1845,u,1,0,6.32183908045977
1845,u,1,1,3.67816091954023
1846,m,0,0,24.260057471264368
1846,m,0,1,14.114942528735632
1846,m,1,0,17.701149425287355
1846,m,1,1,10.298850574712645
1846,w,0,0,17.147988505747126
1846,w,0,1,9.977011494252874
1846,w,1,0,17.701149425287355
1846,w,1,1,10.298850574712645
1846,u,0,0,9.798850574712644
1846,u,0,1,5.7011494252873565
1846,u,1,0,4.425287356321839
1846,u,1,1,2.5747126436781613
1847,m,0,0,29.238505747126435
1847,m,0,1,17.011494252873565
1847,m,1,0,17.701149425287355
1847,m,1,1,10.298850574712645
1847,w,0,0,22.04741379310345
1847,w,0,1,12.827586206896552
1847,w,1,0,17.06896551724138
1847,w,1,1,9.93103448275862
1847,u,0,0,14.461206896551724
1847,u,0,1,8.413793103448276
1847,u,1,0,1.896551724137931
1847,u,1,1,1.103448275862069
1848,m,0,0,30.107758620689655
1848,m,0,1,17.517241379310345
1848,m,1,0,18.96551724137931
1848,m,1,1,11.03448275862069
1848,w,0,0,22.995689655172413
1848,w,0,1,13.379310344827587
1848,w,1,0,18.96551724137931
1848,w,1,1,11.03448275862069
1848,u,0,0,15.883620689655173
1848,u,0,1,9.241379310344827
1848,u,1,0,1.896551724137931
1848,u,1,1,1.103448275862069
1849,m,0,0,27.104885057471265
1849,m,0,1,15.770114942528735
1849,m,1,0,23.39080459770115
1849,m,1,1,13.609195402298852
1849,w,0,0,25.761494252873565
1849,w,0,1,14.988505747126435
1849,w,1,0,18.333333333333332
1849,w,1,1,10.666666666666668
1849,u,0,0,12.801724137931034
1849,u,0,1,7.448275862068966
1849,u,1,0,5.689655172413794
1849,u,1,1,3.3103448275862064
1850,m,0,0,33.26867816091954
1850,m,0,1,19.356321839080458
1850,m,1,0,21.49425287356322
1850,m,1,1,12.50574712643678
1850,w,0,0,27.025862068965516
1850,w,0,1,15.724137931034484
1850,w,1,0,22.758620689655174
1850,w,1,1,13.241379310344826
1850,u,0,0,16.83189655172414
1850,u,0,1,9.793103448275861
1850,u,1,0,3.793103448275862
1850,u,1,1,2.206896551724138
1851,m,0,0,38.64224137931034
1851,m,0,1,22.48275862068966
1851,m,1,0,18.96551724137931
1851,m,1,1,11.03448275862069
1851,w,0,0,26.70977011494253
1851,w,0,1,15.540229885057471
1851,w,1,0,25.919540229885058
1851,w,1,1,15.080459770114942
1851,u,0,0,15.72557471264368
1851,u,0,1,9.14942528735632
1851,u,1,0,6.32183908045977
1851,u,1,1,3.67816091954023
1852,m,0,0,39.985632183908045
1852,m,0,1,23.264367816091955
1852,m,1,0,18.333333333333332
1852,m,1,1,10.666666666666668
1852,w,0,0,24.971264367816094
1852,w,0,1,14.528735632183906
1852,w,1,0,29.080459770114942
1852,w,1,1,16.919540229885058
1852,u,0,0,15.804597701149426
1852,u,0,1,9.195402298850574
1852,u,1,0,6.954022988505747
1852,u,1,1,4.045977011494253
1853,m,0,0,41.32902298850575
1853,m,0,1,24.04597701149425
1853,m,1,0,17.701149425287355
1853,m,1,1,10.298850574712645
1853,w,0,0,31.60919540229885
1853,w,0,1,18.39080459770115
1853,w,1,0,25.28735632183908
1853,w,1,1,14.71264367816092
1853,u,0,0,20.308908045977013
1853,u,0,1,11.816091954022987
1853,u,1,0,3.160919540229885
1853,u,1,1,1.839080459770115
1854,m,0,0,45.4382183908046
1854,m,0,1,26.4367816091954
1854,m,1,0,16.436781609195403
1854,m,1,1,9.563218390804597
1854,w,0,0,28.132183908045977
1854,w,0,1,16.367816091954023
1854,w,1,0,31.60919540229885
1854,w,1,1,18.39080459770115
1854,u,0,0,20.466954022988507
1854,u,0,1,11.908045977011493
1854,u,1,0,4.425287356321839
1854,u,1,1,2.5747126436781613
1855,m,0,0,44.64798850574713
1855,m,0,1,25.97701149425287
1855,m,1,0,15.804597701149426
1855,m,1,1,9.195402298850574
1855,w,0,0,43.304597701149426
1855,w,0,1,25.195402298850574
1855,w,1,0,16.436781609195403
1855,w,1,1,9.563218390804597
1855,u,0,0,18.49137931034483
1855,u,0,1,10.75862068965517
1855,u,1,0,5.689655172413794
1855,u,1,1,3.3103448275862064
1856,m,0,0,41.882183908045974
1856,m,0,1,24.367816091954026
1856,m,1,0,16.436781609195403
1856,m,1,1,9.563218390804597
1856,w,0,0,31.767241379310345
1856,w,0,1,18.482758620689655
1856,w,1,0,26.551724137931036
1856,w,1,1,15.448275862068964
1856,u,0,0,14.619252873563218
1856,u,0,1,8.505747126436782
1856,u,1,0,8.850574712643677
1856,u,1,1,5.149425287356323
1857,m,0,0,36.35057471264368
1857,m,0,1,21.149425287356323
1857,m,1,0,23.39080459770115
1857,m,1,1,13.609195402298852
1857,w,0,0,32.63649425287356
1857,w,0,1,18.98850574712644
1857,w,1,0,27.816091954022987
1857,w,1,1,16.183908045977013
1857,u,0,0,19.123563218390803
1857,u,0,1,11.126436781609197
1857,u,1,0,5.057471264367816
1857,u,1,1,2.942528735632184
1858,m,0,0,45.201149425287355
1858,m,0,1,26.298850574712645
1858,m,1,0,14.540229885057471
1858,m,1,1,8.459770114942529
1858,w,0,0,31.45114942528736
1858,w,0,1,18.29885057471264
1858,w,1,0,29.71264367816092
1858,w,1,1,17.28735632183908
1858,u,0,0,18.49137931034483
1858,u,0,1,10.75862068965517
1858,u,1,0,5.689655172413794
1858,u,1,1,3.3103448275862064
1859,m,0,0,42.90948275862069
1859,m,0,1,24.96551724137931
1859,m,1,0,18.96551724137931
1859,m,1,1,11.03448275862069
1859,w,0,0,40.69683908045977
1859,w,0,1,23.678160919540232
1859,w,1,0,24.022988505747126
1859,w,1,1,13.977011494252874
1859,u,0,0,19.83477011494253
1859,u,0,1,11.540229885057471
1859,u,1,0,5.057471264367816
1859,u,1,1,2.942528735632184
1860,m,0,0,45.9375
1860,m,0,1,15.3125
1860,m,1,0,30.0
1860,m,1,1,10.0
1860,w,0,0,50.15625
1860,w,0,1,16.71875
1860,w,1,0,30.0
1860,w,1,1,10.0
1860,u,0,0,20.71875
1860,u,0,1,6.90625
1860,u,1,0,10.5
1860,u,1,1,3.5
1861,m,0,0,49.78125
1861,m,0,1,16.59375
1861,m,1,0,27.0
1861,m,1,1,9.0
1861,w,0,0,53.90625
1861,w,0,1,17.96875
1861,w,1,0,26.25
1861,w,1,1,8.75
1861,u,0,0,21.28125
1861,u,0,1,7.09375
1861,u,1,0,8.25
1861,u,1,1,2.75
1862,m,0,0,47.625
1862,m,0,1,15.875
1862,m,1,0,30.0
1862,m,1,1,10.0
1862,w,0,0,49.5
1862,w,0,1,16.5
1862,w,1,0,31.5
1862,w,1,1,10.5
1862,u,0,0,22.78125
1862,u,0,1,7.59375
1862,u,1,0,6.75
1862,u,1,1,2.25
1863,m,0,0,34.21875
1863,m,0,1,11.40625
1863,m,1,0,44.25
1863,m,1,1,14.75
1863,w,0,0,47.4375
1863,w,0,1,15.8125
1863,w,1,0,35.25
1863,w,1,1,11.75
1863,u,0,0,20.4375
1863,u,0,1,6.8125
1863,u,1,0,8.25
1863,u,1,1,2.75
1864,m,0,0,21.1875
1864,m,0,1,7.0625
1864,m,1,0,61.5
1864,m,1,1,20.5
1864,w,0,0,37.3125
1864,w,0,1,12.4375
1864,w,1,0,48.75
1864,w,1,1,16.25
1864,u,0,0,19.03125
1864,u,0,1,6.34375
1864,u,1,0,10.5
1864,u,1,1,3.5
1865,m,0,0,39.84375
1865,m,0,1,13.28125
1865,m,1,0,48.75
1865,m,1,1,16.25
1865,w,0,0,39.84375
1865,w,0,1,13.28125
1865,w,1,0,55.5
1865,w,1,1,18.5
1865,u,0,0,23.8125
1865,u,0,1,7.9375
1865,u,1,0,8.25
1865,u,1,1,2.75
1866,m,0,0,42.84375
1866,m,0,1,14.28125
1866,m,1,0,45.75
1866,m,1,1,15.25
1866,w,0,0,50.90625
1866,w,0,1,16.96875
1866,w,1,0,42.75
1866,w,1,1,14.25
1866,u,0,0,22.78125
1866,u,0,1,7.59375
1866,u,1,0,6.75
1866,u,1,1,2.25
1867,m,0,0,34.125
1867,m,0,1,11.375
1867,m,1,0,57.0
1867,m,1,1,19.0
1867,w,0,0,43.6875
1867,w,0,1,14.5625
1867,w,1,0,52.5
1867,w,1,1,17.5
1867,u,0,0,18.1875
1867,u,0,1,6.0625
1867,u,1,0,10.5
1867,u,1,1,3.5
1868,m,0,0,42.9375
1868,m,0,1,14.3125
1868,m,1,0,53.25
1868,m,1,1,17.75
1868,w,0,0,55.59375
1868,w,0,1,18.53125
1868,w,1,0,46.5
1868,w,1,1,15.5
1868,u,0,0,16.78125
1868,u,0,1,5.59375
1868,u,1,0,12.75
1868,u,1,1,4.25
1869,m,0,0,59.53125
1869,m,0,1,19.84375
1869,m,1,0,37.5
1869,m,1,1,12.5
1869,w,0,0,62.53125
1869,w,0,1,20.84375
1869,w,1,0,41.25
1869,w,1,1,13.75
1869,u,0,0,22.6875
1869,u,0,1,7.5625
1869,u,1,0,6.0
1869,u,1,1,2.0
1870,m,0,0,53.8125
1870,m,0,1,17.9375
1870,m,1,0,45.75
1870,m,1,1,15.25
1870,w,0,0,60.9375
1870,w,0,1,20.3125
1870,w,1,0,42.0
1870,w,1,1,14.0
1870,u,0,0,20.15625
1870,u,0,1,6.71875
1870,u,1,0,6.0
1870,u,1,1,2.0
1871,m,0,0,55.875
1871,m,0,1,18.625
1871,m,1,0,48.75
1871,m,1,1,16.25
1871,w,0,0,81.0
1871,w,0,1,27.0
1871,w,1,0,33.75
1871,w,1,1,11.25
1871,u,0,0,21.1875
1871,u,0,1,7.0625
1871,u,1,0,7.5
1871,u,1,1,2.5
1872,m,0,0,50.625
1872,m,0,1,16.875
1872,m,1,0,54.0
1872,m,1,1,18.0
1872,w,0,0,69.1875
1872,w,0,1,23.0625
1872,w,1,0,47.25
1872,w,1,1,15.75
1872,u,0,0,21.09375
1872,u,0,1,7.03125
1872,u,1,0,6.75
1872,u,1,1,2.25
1873,m,0,0,57.1875
1873,m,0,1,19.0625
1873,m,1,0,52.5
1873,m,1,1,17.5
1873,w,0,0,62.53125
1873,w,0,1,20.84375
1873,w,1,0,61.5
1873,w,1,1,20.5
1873,u,0,0,16.59375
1873,u,0,1,5.53125
1873,u,1,0,11.25
1873,u,1,1,3.75
1874,m,0,0,53.15625
1874,m,0,1,17.71875
1874,m,1,0,54.0
1874,m,1,1,18.0
1874,w,0,0,69.609375
1874,w,0,1,23.203125
1874,w,1,0,54.0
1874,w,1,1,18.0
1874,u,0,0,19.5
1874,u,0,1,6.5
1874,u,1,0,7.5
1874,u,1,1,2.5
1875,m,0,0,66.46875
1875,m,0,1,22.15625
1875,m,1,0,45.75
1875,m,1,1,15.25
1875,w,0,0,63.1875
1875,w,0,1,21.0625
1875,w,1,0,73.5
1875,w,1,1,24.5
1875,u,0,0,20.34375
1875,u,0,1,6.78125
1875,u,1,0,7.5
1875,u,1,1,2.5
1876,m,0,0,58.3125
1876,m,0,1,19.4375
1876,m,1,0,61.5
1876,m,1,1,20.5
1876,w,0,0,82.5
1876,w,0,1,27.5
1876,w,1,0,59.25
1876,w,1,1,19.75
1876,u,0,0,18.84375
1876,u,0,1,6.28125
1876,u,1,0,9.0
1876,u,1,1,3.0
1877,m,0,0,77.0625
1877,m,0,1,25.6875
1877,m,1,0,49.5
1877,m,1,1,16.5
1877,w,0,0,81.09375
1877,w,0,1,27.03125
1877,w,1,0,68.25
1877,w,1,1,22.75
1877,u,0,0,22.6875
1877,u,0,1,7.5625
1877,u,1,0,6.0
1877,u,1,1,2.0
1878,m,0,0,79.3125
1878,m,0,1,26.4375
1878,m,1,0,54.0
1878,m,1,1,18.0
1878,w,0,0,93.1875
1878,w,0,1,31.0625
1878,w,1,0,63.75
1878,w,1,1,21.25
1878,u,0,0,19.03125
1878,u,0,1,6.34375
1878,u,1,0,10.5
1878,u,1,1,3.5
1879,m,0,0,81.28125
1879,m,0,1,27.09375
1879,m,1,0,63.0
1879,m,1,1,21.0
1879,w,0,0,98.4375
1879,w,0,1,32.8125
1879,w,1,0,72.0
1879,w,1,1,24.0
1879,u,0,0,22.125
1879,u,0,1,7.375
1879,u,1,0,8.25
1879,u,1,1,2.75
1880,m,0,0,86.90625
1880,m,0,1,28.96875
1880,m,1,0,60.75
1880,m,1,1,20.25
1880,w,0,0,94.03125
1880,w,0,1,31.34375
1880,w,1,0,77.25
1880,w,1,1,25.75
1880,u,0,0,24.46875
1880,u,0,1,8.15625
1880,u,1,0,6.75
1880,u,1,1,2.25
1881,m,0,0,103.875
1881,m,0,1,34.625
1881,m,1,0,48.0
1881,m,1,1,16.0
1881,w,0,0,105.375
1881,w,0,1,35.125
1881,w,1,0,66.75
1881,w,1,1,22.25
1881,u,0,0,23.53125
1881,u,0,1,7.84375
1881,u,1,0,6.0
1881,u,1,1,2.0
1882,m,0,0,106.3125
1882,m,0,1,35.4375
1882,m,1,0,47.25
1882,m,1,1,15.75
1882,w,0,0,97.125
1882,w,0,1,32.375
1882,w,1,0,75.0
1882,w,1,1,25.0
1882,u,0,0,21.1875
1882,u,0,1,7.0625
1882,u,1,0,7.5
1882,u,1,1,2.5
1883,m,0,0,125.15625
1883,m,0,1,41.71875
1883,m,1,0,49.5
1883,m,1,1,16.5
1883,w,0,0,98.4375
1883,w,0,1,32.8125
1883,w,1,0,92.25
1883,w,1,1,30.75
1883,u,0,0,20.0625
1883,u,0,1,6.6875
1883,u,1,0,12.0
1883,u,1,1,4.0
1884,m,0,0,132.375
1884,m,0,1,44.125
1884,m,1,0,53.25
1884,m,1,1,17.75
1884,w,0,0,118.40625
1884,w,0,1,39.46875
1884,w,1,0,76.5
1884,w,1,1,25.5
1884,u,0,0,20.8125
1884,u,0,1,6.9375
1884,u,1,0,11.25
1884,u,1,1,3.75
1885,m,0,0,120.84375
1885,m,0,1,40.28125
1885,m,1,0,55.5
1885,m,1,1,18.5
1885,w,0,0,102.1875
1885,w,0,1,34.0625
1885,w,1,0,81.75
1885,w,1,1,27.25
1885,u,0,0,24.1875
1885,u,0,1,8.0625
1885,u,1,0,4.5
1885,u,1,1,1.5
1886,m,0,0,128.53125
1886,m,0,1,42.84375
1886,m,1,0,56.25
1886,m,1,1,18.75
1886,w,0,0,109.40625
1886,w,0,1,36.46875
1886,w,1,0,72.0
1886,w,1,1,24.0
1886,u,0,0,22.875
1886,u,0,1,7.625
1886,u,1,0,7.5
1886,u,1,1,2.5
1887,m,0,0,141.0
1887,m,0,1,47.0
1887,m,1,0,61.5
1887,m,1,1,20.5
1887,w,0,0,129.1875
1887,w,0,1,43.0625
1887,w,1,0,61.5
1887,w,1,1,20.5
1887,u,0,0,27.5625
1887,u,0,1,9.1875
1887,u,1,0,4.5
1887,u,1,1,1.5
1888,m,0,0,166.96875
1888,m,0,1,55.65625
1888,m,1,0,60.0
1888,m,1,1,20.0
1888,w,0,0,146.625
1888,w,0,1,48.875
1888,w,1,0,59.25
1888,w,1,1,19.75
1888,u,0,0,31.6875
1888,u,0,1,10.5625
1888,u,1,0,3.75
1888,u,1,1,1.25
1889,m,0,0,180.46875
1889,m,0,1,60.15625
1889,m,1,0,46.5
1889,m,1,1,15.5
1889,w,0,0,131.625
1889,w,0,1,43.875
1889,w,1,0,67.5
1889,w,1,1,22.5
1889,u,0,0,30.84375
1889,u,0,1,10.28125
1889,u,1,0,3.75
1889,u,1,1,1.25
1890,m,0,0,187.6875
1890,m,0,1,62.5625
1890,m,1,0,57.0
1890,m,1,1,19.0
1890,w,0,0,135.65625
1890,w,0,1,45.21875
1890,w,1,0,66.0
1890,w,1,1,22.0
1890,u,0,0,30.84375
1890,u,0,1,10.28125
1890,u,1,0,3.75
1890,u,1,1,1.25
1891,m,0,0,177.84375
1891,m,0,1,59.28125
1891,m,1,0,59.25
1891,m,1,1,19.75
1891,w,0,0,131.71875
1891,w,0,1,43.90625
1891,w,1,0,61.5
1891,w,1,1,20.5
1891,u,0,0,28.59375
1891,u,0,1,9.53125
1891,u,1,0,6.0
1891,u,1,1,2.0
1892,m,0,0,212.90625
1892,m,0,1,70.96875
1892,m,1,0,49.5
1892,m,1,1,16.5
1892,w,0,0,137.15625
1892,w,0,1,45.71875
1892,w,1,0,71.25
1892,w,1,1,23.75
1892,u,0,0,35.71875
1892,u,0,1,11.90625
1892,u,1,0,2.25
1892,u,1,1,0.75
1893,m,0,0,212.25
1893,m,0,1,70.75
1893,m,1,0,64.5
1893,m,1,1,21.5
1893,w,0,0,143.53125
1893,w,0,1,47.84375
1893,w,1,0,68.25
1893,w,1,1,22.75
1893,u,0,0,34.5
1893,u,0,1,11.5
1893,u,1,0,6.0
1893,u,1,1,2.0
1894,m,0,0,233.90625
1894,m,0,1,77.96875
1894,m,1,0,55.5
1894,m,1,1,18.5
1894,w,0,0,132.75
1894,w,0,1,44.25
1894,w,1,0,83.25
1894,w,1,1,27.75
1894,u,0,0,36.9375
1894,u,0,1,12.3125
1894,u,1,0,5.25
1894,u,1,1,1.75
1895,m,0,0,292.21875
1895,m,0,1,97.40625
1895,m,1,0,22.5
1895,m,1,1,7.5
1895,w,0,0,203.71875
1895,w,0,1,67.90625
1895,w,1,0,30.0
1895,w,1,1,10.0
1895,u,0,0,45.65625
1895,u,0,1,15.21875
1895,u,1,0,0.75
1895,u,1,1,0.25
1896,m,0,0,298.6875
1896,m,0,1,99.5625
1896,m,1,0,13.5
1896,m,1,1,4.5
1896,w,0,0,208.40625
1896,w,0,1,69.46875
1896,w,1,0,13.5
1896,w,1,1,4.5
1896,u,0,0,44.90625
1896,u,0,1,14.96875
1896,u,1,0,1.5
1896,u,1,1,0.5
1897,m,0,0,348.9375
1897,m,0,1,116.3125
1897,m,1,0,3.75
1897,m,1,1,1.25
1897,w,0,0,244.125
1897,w,0,1,81.375
1897,w,1,0,2.25
1897,w,1,1,0.75
1897,u,0,0,53.15625
1897,u,0,1,17.71875
1897,u,1,0,0.0
1897,u,1,1,0.0
1898,m,0,0,354.5625
1898,m,0,1,118.1875
1898,m,1,0,1.5
1898,m,1,1,0.5
1898,w,0,0,243.09375
1898,w,0,1,81.03125
1898,w,1,0,0.75
1898,w,1,1,0.25
1898,u,0,0,54.0
1898,u,0,1,18.0
1898,u,1,0,0.0
1898,u,1,1,0.0
1899,m,0,0,369.5625
1899,m,0,1,123.1875
1899,m,1,0,0.0
1899,m,1,1,0.0
1899,w,0,0,247.21875
1899,w,0,1,82.40625
1899,w,1,0,0.0
1899,w,1,1,0.0
1899,u,0,0,56.53125
1899,u,0,1,18.84375
1899,u,1,0,0.0
1899,u,1,1,0.0
1900,m,0,0,366.1875
1900,m,0,1,122.0625
1900,m,1,0,0.0
1900,m,1,1,0.0
1900,w,0,0,238.78125
1900,w,0,1,79.59375
1900,w,1,0,0.0
1900,w,1,1,0.0
1900,u,0,0,58.21875
1900,u,0,1,19.40625
1900,u,1,0,0.0
1900,u,1,1,0.0
1901,m,0,0,356.90625
1901,m,0,1,118.96875
1901,m,1,0,0.0
1901,m,1,1,0.0
1901,w,0,0,232.03125
1901,w,0,1,77.34375
1901,w,1,0,0.0
1901,w,1,1,0.0
1901,u,0,0,56.53125
1901,u,0,1,18.84375
1901,u,1,0,0.0
1901,u,1,1,0.0
