sample_index,year,gender,filename,label,single_novel_author,multivolume_novel,notes
1,1899,m,15732__nisbet_comrades_chp9of37_seed15723.html,random,0,0,"random seed incorrectly transposed 2 and 3 in title id"
2,1886,w,1237__curtis_favourite_fortune_chp8of50_seed1237.html,random,0,1,
3,1837,m,7083__gleig_hussar_chp8of30_seed7083.html,random,0,1,
4,1892,m,7900__terrell_cityofthejust_chp7of29_seed7900.html,random,0,0,
5,1875,m,2551__mackenna_child_fortune_chp35of40_seed2551.html,random,0,1,
6,1865,m,9982__adams_whitebrunswickers_chp14of23_seed9982.html,random,0,0,
7,1881,m,951__gibbon_braesofyarrow_chp41of54_seed951.html,random,0,1,
8,1895,m,15354__frith_insearchofquiet_chp11of23_seed15354.html,random,0,0,
9,1898,m,8532__boldrewood_romcanvastown_chp18of23_seed8532.html,random,0,0,
10,1860,w,7173__cummins_elfureidis_chp22of30_seed7173.html,random,0,1,
11,1899,m,8550__boothby_pharos_chp20of21_seed8550.html,random,0,0,
12,1883,w,1519__lyon_signora_chp11of41_seed1519.html,random,0,1,
13,1883,m,976__hatton_modern_ulysses_chp38of46_seed976.html,random,0,1,
14,1900,w,10236__everett-green_heir_hascombe_hall_chp1of24_seed10236.html,random,0,0,
15,1848,m,7155__thackeray_vanity_fair_chp46of67_seed7155.html,random,0,0,also in reprint canon
16,1881,w,1120__rita_fragoletta_chp20of33_seed1120.html,random,0,1,
17,1899,m,11919__clifford_inacornerofasia_chp4of11_seed11919.html,random,0,0,
18,1865,w,502__murray_john_alston_vow_chp21of41_seed502.html,random,0,1,
19,1874,m,2534__knight_romanceofacadia_chp16of29_seed2534.html,random,0,1,
20,1882,m,1453__jenkins_jobsonsenemies_chp21of69_seed1453.html,random,0,1,
21,1894,w,4705__lyall_rightwrong_chp25of41_seed4705.html,random,0,1,
22,1888,u,6459__peregrinator_florida_chp13of13_seed6459.html,random,1,1,
23,1892,m,4847__churchward_jem_peterkin_chp12of34_seed4847.html,random,0,1,
24,1883,w,12419__marshall_constantia_chp2of4_seed12419.html,random,0,0,
25,1900,w,7741__alexander_fire_fortune_chp16of26_seed7741.html,random,0,0,
26,1901,w,12089__croker_angel_chp26of40_seed12089.html,random,0,0,
27,1863,m,14640__hood_disputed_chp2of29_seed14640.html,random,0,0,
28,1851,m,3583__james_fate_chp15of47_seed3583.html,random,0,1,
29,1878,m,7477__adams_wilton_chp9of24_seed7477.html,random,0,0,
30,1900,w,13760__conyers_thorn_bit_chp17of41_seed3090.html,random,0,0,"random seed was accidentally author id, not title id"
