sample_index,year,gender,filename,label,notes
1,1880,w,2392__ouida_moths_chp25of31_seed1520972099.html,reprint,
2,1897,m,7959__james_maisie_chp5of31_seed7959.html,reprint,
3,1867,w,5470__broughton_cometh_up_chp3of38_seed5470.html,reprint,
4,1880,m,1962__collins_jezebel_chp12of44_seed1962.html,reprint,
5,1889,m,7928__stevenson_ballantrae_chp11of12_seed7928.html,reprint,
6,1876,w,2394__oliphant_phoebe_junior_chp29of45_seed2394.html,reprint,
7,1863,m,5491__trollope_rachel_ray_chp21of30_seed5491.html,reprint,
8,1872,m,1963__collins_poor_miss_finch_chp34of50_seed1963.html,reprint,
9,1863,w,603__eliot_romola_chp22of72_seed603.html,reprint,
10,1857,m,6942__collins_dead_secret_chp1of29_seed6942.html,reprint,
11,1870,m,137__collins_man_wife_chp5of57_seed137.html,reprint,
12,1845,m,7464__dickens_chimes_chp1of4_seed7464.html,reprint,
13,1890,m,7559__doyle_sign_four_chp5of12_seed7559.html,reprint,
14,1863,w,4422__braddon_aurora_floyd_chp35of39_seed4422.html,reprint,
15,1865,m,11374__carroll_alice_wonderland_chp1of12_seed11374.html,reprint,
16,1884,m,13698__abbott_flatland_chp2of22_seed13698.html,reprint,
17,1886,m,1444__james_casamassima_chp44of47_seed1444.html,reprint,
18,1896,m,7916__conrad_outcast_islands_chp1of27_seed7916.html,reprint,
19,1857,m,4123__trollope_barchester_towers_chp49of53_seed4123.html,reprint,
20,1868,m,136__collins_moonstone_chp37of45_seed136.html,reprint,
21,1876,m,5740__hardy_ethelberta_chp3of47_seed5740.html,reprint,
22,1876,w,5745__eliot_deronda_chp25of70_seed5745.html,reprint,
23,1890,w,4591__corelli_wormwood_chp20of35_seed4591.html,reprint,
24,1859,m,7473__dickens_tale_two_cities_chp34of45_seed7473.html,reprint,
25,1873,m,2698__trollope_eustace_chp29of80_seed2698.html,reprint,
26,1900,m,7919__conrad_lord_jim_chp41of45_seed7919.html,reprint,
27,1865,m,5492__trollope_forgive_chp8of80_seed5492.html,reprint,
28,1848,w,6955__gaskell_barton_chp36of38_seed6955.html,reprint,
29,1845,m,3028__disraeli_sybil_chp26of71_seed3028.html,reprint,
30,1866,w,117__oliphant_marjoribanks_chp16of52_seed117.html,reprint,
31,1897,m,7958__james_poynton_chp17of22_seed7958.html,reprint,
32,1865,w,7705__gaskell_grey_woman_chp4of12_seed7705.html,reprint,
33,1862,m,7012__trollope_orley_farm_chp60of80_seed7012.html,reprint,
34,1883,w,864__oliphant_hester_chp10of16_seed864.html,reprint,
35,1897,m,8837__marsh_beetle_chp22of48_seed8837.html,reprint,
36,1866,w,5436__gaskell_wives_daughters_chp27of60_seed5436.html,reprint,
37,1863,w,261__gaskell_sylvias_lovers_chp28of45_seed261.html,reprint,
38,1894,w,4789__ward_marcella_chp44of47_seed4789.html,reprint,
39,1859,w,3037__eliot_bede_chp41of56_seed3037.html,reprint,
40,1878,m,2191__hardy_return_native_chp11of48_seed2191.html,reprint,
41,1870,m,7474__dickens_mystery_edwin_drood_chp20of23_seed7474.html,reprint,
42,1881,m,921__hardy_laodicean_chp23of43_seed921.html,reprint,
43,1866,w,218__eliot_felix_holt_chp20of53_seed218.html,reprint,
44,1888,w,8684__levy_romance_shop_chp3of25_seed8684.html,reprint,
45,1849,w,3130__brontë_shirley_chp27of37_seed3130.html,reprint,
46,1848,m,7468__dickens_haunted_man_chp3of3_seed7468.html,reprint,
47,1895,m,7645__allen_woman_who_did_chp24of24_seed7645.html,reprint,
48,1872,m,7498__hardy_under_greenwood_tree_chp21of30_seed7498.html,reprint,
49,1888,m,6087__hardy_wessex_tales_chp32of32_seed6087.html,reprint,
50,1890,m,4471__collins_blind_love_chp52of66_seed4471.html,reprint,
51,1886,m,7952__james_bostonians_chp37of42_seed7952.html,reprint,
52,1894,w,6785__johnstone_sunless_heart_chp17of24_seed6785.html,reprint,
53,1847,w,7446__brönte_wuthering_heights_chp4of34_seed7446.html,reprint,
54,1887,w,11123__harkness_city_girl_chp1of13_seed11123.html,reprint,
55,1853,w,3334__gaskell_ruth_chp10of36_seed3334.html,reprint,
56,1882,m,10452__adams_democracy_chp9of14_seed10452.html,reprint,
57,1900,m,9714__jerome_three_men_bummel_chp13of14_seed9714.html,reprint,
58,1847,w,3129__bronte_jane_eyre_chp3of38_seed3129.html,reprint,
59,1891,m,4484__hardy_tess_d'urbervilles_chp46of59_seed4484.html,reprint,
60,1889,m,9710__jerome_three_men_boat_chp7of19_seed9710.html,reprint,
61,1873,m,4427__hardy_pair_blue_eyes_chp24of40_seed4427.html,reprint,
62,1883,m,1888__zola_ladies_paradise_trans_belmont_chp10of15_seed1888.html,reprint,NOT the 1883 translation. This is an 1888 translation.
63,1881,m,6163__james_washington_square_pension_beaurepas_bundle_chp25of53_seed6163.html,reprint,
64,1865,w,7706__gaskell_cousin_phillis_chp6of37_seed7706.html,reprint,
65,1838,m,3244__dickens_oliver_twist_chp11of53_seed3244.html,reprint,
66,1863,m,13699__kingsley_water_babies_chp8of8_seed13699.html,reprint,
67,1864,w,78__braddon_doctors_wife_chp13of37_seed78.html,reprint,
68,1848,m,7155__thackeray_vanity_fair_chp46of67_seed7155.html,reprint,
