title_id,author_id,title,volumes,publisher_location,publisher_name,publication_year,first_name,middle_name,last_name,alt_name,birth_year,death_year,gender
1,45,"Abbot's Cleve: or, Can It be Proved? A Novel",3,London,Tinsley Brothers,1864,Isabella,Neil,Harwood,Ross Neil (pseudonym),1837.0,1888.0,F
2,58,Ada Fortescue: A Novel,3,London,T. C. Newby,1863,Sibella,,Jones,,,,F
3,1,Ada Moore's Story: A Novel,3,London,Tinsley Brothers,1867,,,Anonymous,Anon. (abbreviation),,,U
4,2,Behind the Curtain: A Novel,3,London,John Maxwell,1865,Henry,Robert,Addison,,1805.0,1876.0,M
5,1495,The Agent of Broome Warren: A Novel,3,London,Bentley,1871,Robert,,Sulivan,,1797.0,,M
6,3,The Marstons,3,London,Chapman and Hall,1868,Hamilton,,Aidé,Charles Hamilton Aidé (legal name),1826.0,1906.0,M
7,4,The Bee-Hunters,3,London,John Maxwell,1864,Gustave,,Aimard,(pseudonym); Oliver Glaux (legal name),1818.0,1883.0,M
8,5,"Cardinal Pole: or, The Days of Philip and Mary. An Historical Romance",3,London,Chapman and Hall,1863,William,Harrison,Ainsworth,Will Brown (pseudonym),1805.0,1882.0,M
9,5,The Constable de Bourbon,3,London,Chapman and Hall,1866,William,Harrison,Ainsworth,Will Brown (pseudonym),1805.0,1882.0,M
10,5,Hilary St. Ives,3,London,Chapman and Hall,1870,William,Harrison,Ainsworth,Will Brown (pseudonym),1805.0,1882.0,M
11,5,"John Law, the Projector",3,London,Chapman and Hall,1864,William,Harrison,Ainsworth,Will Brown (pseudonym),1805.0,1882.0,M
12,5,Myddleton Pomfret,3,London,Chapman and Hall,1868,William,Harrison,Ainsworth,Will Brown (pseudonym),1805.0,1882.0,M
13,5,Old Court: A Novel,3,London,Chapman and Hall,1867,William,Harrison,Ainsworth,Will Brown (pseudonym),1805.0,1882.0,M
14,5,"The Spanish Match: or, Charles Stuart at Madrid",3,London,Chapman and Hall,1865,William,Harrison,Ainsworth,Will Brown (pseudonym),1805.0,1882.0,M
15,6,Melchior Gorles: Tale of Modern Mesmerism,3,London,J. C. Hotten,1867,Henry,Hyde Nugent,Bankes,Henry Aitchenbie (pseudonym),1828.0,1883.0,M
16,69,Alec's Bride,3,London,Hurst and Blackett,1867,Eliza,Tabor,Stephenson,Tabor (maiden name),1835.0,1914.0,F
17,259,Altogether Wrong,3,London,Tinsley Brothers,1863,Mrs.,,Pemberton,(pseudonym); H. Pemberton (pseudonym); Helen Etough Crookshank (maiden name); Gipps (married name); Hume (alternate name); Dick (alternate name),1830.0,1877.0,F
18,1324,Andrew Ramsay of Errol,3,London,Hurst and Blackett,1865,William,,Wilson,,1818.0,1885.0,M
19,7,Anne Furness: A Novel,3,London,Chapman and Hall,1871,Frances,Eleanor,Trollope,Ternan (maiden name),1834.0,1913.0,F
20,8,Anne Severin,3,London,Bentley,1869,Mrs. Augustus,,Craven,Pauline Marie Armande Aglaé de la Ferronays (maiden name),1808.0,1891.0,F
21,9,Anteros: A Novel,3,London,Chapman and Hall,1871,George,Alfred,Lawrence,,1827.0,1876.0,M
22,10,A Fool's Paradise: A Novel,3,London,Tinsley Brothers,1870,Thomas,,Archer,,1830.0,1893.0,M
23,10,Strange Work: A Novel,3,London,Tinsley Brothers,1868,Thomas,,Archer,,1830.0,1893.0,M
24,1081,The Naval Lieutenant: A Nautical Romance,3,London,T. C. Newby,1865,Francis,Claudius,Armstrong,,1802.0,1872.0,M
25,1081,"The Pirates of ""The Foam"": A Novel",3,London,T. C. Newby,1863,Francis,Claudius,Armstrong,,1802.0,1872.0,M
26,1081,The Queen of the Seas: A Tale of Sea and Land,3,London,T. C. Newby,1864,Francis,Claudius,Armstrong,,1802.0,1872.0,M
27,1081,"The Wild Gazelle, and Other Tales",3,London,T. C. Newby,1868,Francis,Claudius,Armstrong,,1802.0,1872.0,M
28,14,Arthur,3,London,Hurst and Blackett,1870,Christiana,Jane,Douglas,Davies (married name),1822.0,1887.0,F
29,12,The Country House on the Rhine,3,London,Bentley,1870,Berthold,,Auerbach,,1812.0,1882.0,M
30,13,An Artist's Proof,3,London,Tinsley Brothers,1864,Alfred,,Austin,Oswald Boyle (pseudonym),1835.0,1913.0,M
31,13,Won by a Head: A Novel,3,London,Chapman and Hall,1865,Alfred,,Austin,Oswald Boyle (pseudonym),1835.0,1913.0,M
32,15,The Fortune of Fairstone: A Novel,3,London,Saunders and Otley,1867,Richard,Whieldon,Baddeley,,1840.0,1876.0,M
33,15,The Village of the West,3,London,Hurst and Blackett,1870,Richard,Whieldon,Baddeley,,1840.0,1876.0,M
34,16,Stung to the Quick: A North Country Story,3,London,Charles W. Wood,1867,Isabella,,Banks,Varley (maiden name); Mrs. G. Linnaeus Banks (familiar name),1821.0,1897.0,F
35,17,The Baronet's Sunbeam: A Novel,3,London,Tinsley Brothers,1870,A.,C.,W.,Mrs. Wheeley (legal name),,,F
36,18,Left to the World,3,London,John Maxwell,1865,Charles,Aubyn,Beach,,1828.0,,M
37,18,"Lost Leonore: or, The Adventures of a Rolling Stone",3,London,Skeet,1864,Charles,Aubyn,Beach,,1828.0,,M
38,19,"Nothing Venture, Nothing Have: A Novel",3,London,Bentley,1864,Anne,,Beale,,1816.0,1900.0,F
39,20,"Fallen Among Thieves: A Novel of ""Interest""",3,London,Chapman and Hall,1870,Arthur,William,à'Beckett,,1844.0,1909.0,M
40,21,Norwood: Life in New England,3,London,Sampson Low,1867,Henry,Ward,Beecher,,1813.0,1887.0,M
41,25,Behind the Veil,3,London,"Smith, Elder",1871,Herman,Ludolph,Prior,,1818.0,1903.0,M
